Title,Authors,Date of Publication,Links
Neutralizing IFNγ improves safety without compromising efficacy of CAR-T cell therapy in B-cell malignancies,Simona ManniFrancesca Del BufaloConcetta Quintarelli,2023-06-09,"<a href=""https://www.nature.com/articles/s41467-023-38723-y"" target=""_blank"">https://www.nature.com/articles/s41467-023-38723-y</a>"
Universal redirection of CAR T cells against solid tumours via membrane-inserted ligands for the CAR,Angela Q. ZhangAlexander HostetlerDarrell J. Irvine,2023-06-08,"<a href=""https://www.nature.com/articles/s41551-023-01048-8"" target=""_blank"">https://www.nature.com/articles/s41551-023-01048-8</a>"
Tumor-intrinsic sensitivity to the pro-apoptotic effects of IFN-γ is a major determinant of CD4+ CAR T-cell antitumor activity,Morgane BoulchMarine CazauxPhilippe Bousso,2023-05-29,"<a href=""https://www.nature.com/articles/s43018-023-00570-7"" target=""_blank"">https://www.nature.com/articles/s43018-023-00570-7</a>"
Post-translational covalent assembly of CAR and synNotch receptors for programmable antigen targeting,Elisa RuffoAdam A. ButchyJason Lohmueller,2023-05-09,"<a href=""https://www.nature.com/articles/s41467-023-37863-5"" target=""_blank"">https://www.nature.com/articles/s41467-023-37863-5</a>"
Anti-GD2 CAR-NKT cells in relapsed or refractory neuroblastoma: updated phase 1 trial interim results,Andras HeczeyXin XuLeonid S. Metelitsa,2023-05-15,"<a href=""https://www.nature.com/articles/s41591-023-02363-y"" target=""_blank"">https://www.nature.com/articles/s41591-023-02363-y</a>"
The IgG4 hinge with CD28 transmembrane domain improves VHH-based CAR T cells targeting a membrane-distal epitope of GPC1 in pancreatic cancer,Nan LiAlex QuanMitchell Ho,2023-04-08,"<a href=""https://www.nature.com/articles/s41467-023-37616-4"" target=""_blank"">https://www.nature.com/articles/s41467-023-37616-4</a>"
ST3GAL1 and βII-spectrin pathways control CAR T cell migration to target tumors,Yeonsun HongBrandon L. WallingMinsoo Kim,2023-04-17,"<a href=""https://www.nature.com/articles/s41590-023-01498-x"" target=""_blank"">https://www.nature.com/articles/s41590-023-01498-x</a>"
Author Correction: Deconvolution of clinical variance in CAR-T cell pharmacology and response,Daniel C. KirouacCole ZmurchokPeter W. Zandstra,2023-05-15,"<a href=""https://www.nature.com/articles/s41587-023-01816-6"" target=""_blank"">https://www.nature.com/articles/s41587-023-01816-6</a>"
CAR-neutrophil mediated delivery of tumor-microenvironment responsive nanodrugs for glioblastoma chemo-immunotherapy,Yun ChangXuechao CaiXiaoping Bao,2023-04-20,"<a href=""https://www.nature.com/articles/s41467-023-37872-4"" target=""_blank"">https://www.nature.com/articles/s41467-023-37872-4</a>"
CAR-T cells for solid tumors,N/A,2023-05-16,"<a href=""https://www.nature.com/articles/s41587-023-01803-x"" target=""_blank"">https://www.nature.com/articles/s41587-023-01803-x</a>"
Hypoimmune anti-CD19 chimeric antigen receptor T cells provide lasting tumor control in fully immunocompetent allogeneic humanized mice,Xiaomeng HuKarl MannerSonja Schrepfer,2023-04-10,"<a href=""https://www.nature.com/articles/s41467-023-37785-2"" target=""_blank"">https://www.nature.com/articles/s41467-023-37785-2</a>"
ALPL-1 is a target for chimeric antigen receptor therapy in osteosarcoma,Nadia MensaliHakan KöksalSébastien Wälchli,2023-06-08,"<a href=""https://www.nature.com/articles/s41467-023-39097-x"" target=""_blank"">https://www.nature.com/articles/s41467-023-39097-x</a>"
Cryo-EM structure of the folded-back state of human β-cardiac myosin,Alessandro GrinzatoDaniel AuguinJulien Robert-Paganin,2023-05-31,"<a href=""https://www.nature.com/articles/s41467-023-38698-w"" target=""_blank"">https://www.nature.com/articles/s41467-023-38698-w</a>"
First two patients receive CAR T cell therapy for HIV,Thiago Carvalho,2023-05-09,"<a href=""https://www.nature.com/articles/d41591-023-00042-6"" target=""_blank"">https://www.nature.com/articles/d41591-023-00042-6</a>"
CD4+ CAR T cells — more than helpers,M. Eric KohlerTerry J. Fry,2023-05-29,"<a href=""https://www.nature.com/articles/s43018-023-00567-2"" target=""_blank"">https://www.nature.com/articles/s43018-023-00567-2</a>"
Inducible expression of interleukin-12 augments the efficacy of affinity-tuned chimeric antigen receptors in murine solid tumor models,Yanping YangHuan YangMoonsoo M. Jin,2023-04-12,"<a href=""https://www.nature.com/articles/s41467-023-37646-y"" target=""_blank"">https://www.nature.com/articles/s41467-023-37646-y</a>"
Activation-inducible CAR expression enables precise control over engineered CAR T cell function,Simon P. FraessleClaudia TschulikMateusz P. Poltorak,2023-06-05,"<a href=""https://www.nature.com/articles/s42003-023-04978-w"" target=""_blank"">https://www.nature.com/articles/s42003-023-04978-w</a>"
Single-cell transcriptomic atlas-guided development of CAR-T cells for the treatment of acute myeloid leukemia,Adrian GottschlichMoritz ThomasSebastian Kobold,2023-03-13,"<a href=""https://www.nature.com/articles/s41587-023-01684-0"" target=""_blank"">https://www.nature.com/articles/s41587-023-01684-0</a>"
TET2 guards against unchecked BATF3-induced CAR T cell expansion,Nayan JainZeguo ZhaoMichel Sadelain,2023-02-08,"<a href=""https://www.nature.com/articles/s41586-022-05692-z"" target=""_blank"">https://www.nature.com/articles/s41586-022-05692-z</a>"
Enhancing CAR-T cell functionality in a patient-specific manner,David K. Y. ZhangKwasi Adu-BerchieDavid J. Mooney,2023-01-31,"<a href=""https://www.nature.com/articles/s41467-023-36126-7"" target=""_blank"">https://www.nature.com/articles/s41467-023-36126-7</a>"
Co-opting signalling molecules enables logic-gated control of CAR T cells,Aidan M. TousleyMaria Caterina RotirotiRobbie G. Majzner,2023-03-08,"<a href=""https://www.nature.com/articles/s41586-023-05778-2"" target=""_blank"">https://www.nature.com/articles/s41586-023-05778-2</a>"
A non-antibiotic-disrupted gut microbiome is associated with clinical responses to CD19-CAR-T cell cancer immunotherapy,Christoph K. Stein-ThoeringerNeeraj Y. SainiEran Elinav,2023-03-13,"<a href=""https://www.nature.com/articles/s41591-023-02234-6"" target=""_blank"">https://www.nature.com/articles/s41591-023-02234-6</a>"
Non-invasive activation of intratumoural gene editing for improved adoptive T-cell therapy in solid tumours,Xiaohong ChenShuang WangYuan Ping,2023-05-15,"<a href=""https://www.nature.com/articles/s41565-023-01378-3"" target=""_blank"">https://www.nature.com/articles/s41565-023-01378-3</a>"
Natural killer cells in antitumour adoptive cell immunotherapy,Tamara J. LaskowskiAlexander BiederstädtKatayoun Rezvani,2022-07-25,"<a href=""https://www.nature.com/articles/s41568-022-00491-0"" target=""_blank"">https://www.nature.com/articles/s41568-022-00491-0</a>"
A flavin-monooxygenase catalyzing oxepinone formation and the complete biosynthesis of vibralactone,Ke-Na FengYue ZhangYing Zeng,2023-06-10,"<a href=""https://www.nature.com/articles/s41467-023-39108-x"" target=""_blank"">https://www.nature.com/articles/s41467-023-39108-x</a>"
CAR T cells show promise in neuroblastoma,Karen  O’Leary,2023-04-17,"<a href=""https://www.nature.com/articles/d41591-023-00035-5"" target=""_blank"">https://www.nature.com/articles/d41591-023-00035-5</a>"
CAR T cells induce durable remission of neuroblastoma,David Killock,2023-04-20,"<a href=""https://www.nature.com/articles/s41571-023-00768-9"" target=""_blank"">https://www.nature.com/articles/s41571-023-00768-9</a>"
Targeting advanced prostate cancer with STEAP1 chimeric antigen receptor T cell and tumor-localized IL-12 immunotherapy,Vipul BhatiaNikhil V. KamatJohn K. Lee,2023-04-11,"<a href=""https://www.nature.com/articles/s41467-023-37874-2"" target=""_blank"">https://www.nature.com/articles/s41467-023-37874-2</a>"
Allogeneic BCMA-targeting CAR T cells in relapsed/refractory multiple myeloma: phase 1 UNIVERSAL trial interim results,Sham MailankodyJeffrey V. MatousShaji K. Kumar,2023-01-23,"<a href=""https://www.nature.com/articles/s41591-022-02182-7"" target=""_blank"">https://www.nature.com/articles/s41591-022-02182-7</a>"
Single-cell mapping of combinatorial target antigens for CAR switches using logic gates,Joonha KwonJunho KangJung Kyoon Choi,2023-02-16,"<a href=""https://www.nature.com/articles/s41587-023-01686-y"" target=""_blank"">https://www.nature.com/articles/s41587-023-01686-y</a>"
That new car smell has a whiff of health hazards,N/A,2023-04-12,"<a href=""https://www.nature.com/articles/d41586-023-01034-9"" target=""_blank"">https://www.nature.com/articles/d41586-023-01034-9</a>"
Synapse-tuned CARs enhance immune cell anti-tumor activity,Peter J. ChockleyJorge Ibanez-VegaStephen Gottschalk,2023-02-02,"<a href=""https://www.nature.com/articles/s41587-022-01650-2"" target=""_blank"">https://www.nature.com/articles/s41587-022-01650-2</a>"
Deconvolution of clinical variance in CAR-T cell pharmacology and response,Daniel C. KirouacCole ZmurchokPeter W. Zandstra,2023-02-27,"<a href=""https://www.nature.com/articles/s41587-023-01687-x"" target=""_blank"">https://www.nature.com/articles/s41587-023-01687-x</a>"
Publisher Correction: Allogeneic BCMA-targeting CAR T cells in relapsed/refractory multiple myeloma: phase 1 UNIVERSAL trial interim results,Sham MailankodyJeffrey V. MatousShaji K. Kumar,2023-03-17,"<a href=""https://www.nature.com/articles/s41591-023-02306-7"" target=""_blank"">https://www.nature.com/articles/s41591-023-02306-7</a>"
Remodelling of tumour microenvironment by microwave ablation potentiates immunotherapy of AXL-specific CAR T cells against non-small cell lung cancer,Bihui CaoManting LiuZhenfeng Zhang,2022-10-19,"<a href=""https://www.nature.com/articles/s41467-022-33968-5"" target=""_blank"">https://www.nature.com/articles/s41467-022-33968-5</a>"
Prognostic value of early bone marrow MRD status in CAR-T therapy for myeloma,Radhika BansalMizba BakshYi Lin,2023-04-05,"<a href=""https://www.nature.com/articles/s41408-023-00820-y"" target=""_blank"">https://www.nature.com/articles/s41408-023-00820-y</a>"
